Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Address ID
CA-2017-112809,2017-08-18,2017-08-22,Standard Class,RA-19915,75220-000001
US-2017-160759,2017-12-11,2017-12-17,Standard Class,AI-10855,19120-000001
CA-2017-148446,2017-12-10,2017-12-14,Second Class,MC-17845,89031-000001
CA-2014-111059,2014-02-03,2014-02-06,Second Class,TB-21400,98105-000001
CA-2017-116204,2017-02-11,2017-02-14,Second Class,VW-21775,94110-000001
CA-2017-109946,2017-04-16,2017-04-21,Standard Class,PL-18925,60610-000001
CA-2015-144806,2015-12-06,2015-12-11,Standard Class,GH-14425,85705-000001
CA-2016-122392,2016-07-22,2016-07-27,Standard Class,CJ-12010,18103-000001
CA-2015-148432,2015-11-07,2015-11-10,Second Class,MC-18130,19711-000001
CA-2015-103793,2015-03-26,2015-03-31,Standard Class,BV-11245,33142-000001
CA-2017-159884,2017-08-31,2017-09-05,Standard Class,JF-15490,85281-000001
CA-2016-139885,2016-12-04,2016-12-08,Standard Class,EB-13840,10035-000001
CA-2017-124086,2017-02-10,2017-02-14,Standard Class,MP-18175,92677-000001
CA-2016-112389,2016-10-29,2016-11-02,Standard Class,JM-15655,8302-000001
CA-2017-121888,2017-09-15,2017-09-17,Second Class,CL-11890,2149-000001
CA-2014-166884,2014-03-11,2014-03-16,Second Class,CK-12205,43229-000001
CA-2014-107181,2014-02-04,2014-02-08,Standard Class,DB-13270,92024-000001
CA-2014-150245,2014-12-31,2015-01-04,Second Class,PC-18745,13601-000001
CA-2015-111395,2015-11-23,2015-11-27,Standard Class,VB-21745,78207-000001
CA-2014-134278,2014-07-06,2014-07-08,First Class,EP-13915,10011-000001
US-2017-124926,2017-11-13,2017-11-18,Second Class,ME-17320,77095-000001
CA-2016-159345,2016-06-17,2016-06-22,Standard Class,IG-15085,92024-000001
CA-2014-130274,2014-05-03,2014-05-05,First Class,JS-15940,54915-000001
CA-2017-158386,2017-10-16,2017-10-21,Standard Class,BO-11425,40475-000001
CA-2015-111507,2015-02-06,2015-02-13,Standard Class,VW-21775,98006-000001
CA-2017-120761,2017-09-04,2017-09-08,Standard Class,AB-10150,11561-000001
CA-2016-109176,2016-05-09,2016-05-15,Standard Class,JW-16075,19140-000001
CA-2015-112116,2015-03-16,2015-03-18,Second Class,JE-15475,98103-000001
CA-2016-126809,2016-04-09,2016-04-13,Standard Class,EB-13750,98103-000001
CA-2014-105172,2014-04-04,2014-04-09,Standard Class,PK-18910,94109-000001
CA-2017-107293,2017-09-05,2017-09-06,First Class,CS-12400,98115-000001
US-2017-102890,2017-06-30,2017-06-30,Same Day,SG-20470,10011-000001
CA-2015-158554,2015-11-09,2015-11-09,Same Day,CM-12190,19134-000001
CA-2014-116239,2014-03-04,2014-03-04,Same Day,CL-12565,29203-000001
CA-2015-132101,2015-03-19,2015-03-25,Standard Class,JO-15550,98105-000001
CA-2015-129112,2015-11-29,2015-11-30,First Class,AW-10840,75002-000001
US-2017-152002,2017-06-11,2017-06-11,Same Day,DV-13465,90004-000001
CA-2017-165029,2017-11-26,2017-11-30,Standard Class,AH-10075,30318-000001
US-2014-157385,2014-11-23,2014-11-25,First Class,SC-20095,90004-000001
CA-2014-101602,2014-12-15,2014-12-18,First Class,MC-18100,79907-000001
CA-2016-109057,2016-04-22,2016-04-27,Standard Class,TT-21460,60505-000001
CA-2016-154403,2016-05-23,2016-05-27,Standard Class,AP-10720,35630-000001
CA-2016-102456,2016-02-27,2016-03-01,First Class,DL-12865,10011-000001
CA-2015-131338,2015-08-09,2015-08-12,First Class,NP-18325,10024-000001
CA-2016-109911,2016-05-12,2016-05-16,Standard Class,VG-21805,23464-000001
US-2016-132423,2016-04-15,2016-04-19,Standard Class,MY-18295,76051-000001
CA-2015-122826,2015-06-23,2015-06-25,Second Class,RD-19480,98502-000001
CA-2014-117317,2014-10-19,2014-10-19,Same Day,JF-15490,90032-000001
CA-2015-118423,2015-03-24,2015-03-27,First Class,DP-13390,61604-000001
CA-2017-149181,2017-05-08,2017-05-12,Standard Class,MD-17350,43229-000001
CA-2017-132234,2017-10-16,2017-10-18,First Class,MY-17380,10011-000001
CA-2017-158876,2017-11-19,2017-11-21,Second Class,AB-10150,75007-000001
CA-2016-164672,2016-05-08,2016-05-13,Second Class,GB-14530,19901-000001
US-2016-132857,2016-12-11,2016-12-17,Standard Class,CA-12775,37167-000001
CA-2017-116645,2017-11-30,2017-12-04,Standard Class,ME-17725,19711-000001
US-2016-115819,2016-04-19,2016-04-24,Second Class,JO-15280,90049-000001
CA-2014-156349,2014-05-26,2014-05-30,Standard Class,ML-17395,90008-000001
CA-2017-138380,2017-12-21,2017-12-25,Standard Class,YS-21880,94601-000001
US-2016-113509,2016-03-15,2016-03-19,Standard Class,PL-18925,19143-000001
CA-2015-130022,2015-08-10,2015-08-16,Standard Class,JK-16120,55122-000001
US-2016-118780,2016-09-10,2016-09-14,Second Class,PN-18775,10011-000001
CA-2017-108560,2017-07-08,2017-07-15,Standard Class,JC-15385,98031-000001
CA-2015-157084,2015-12-19,2015-12-24,Standard Class,JG-15160,90049-000001
CA-2015-164539,2015-11-16,2015-11-22,Standard Class,PO-19180,10011-000001
CA-2015-143119,2015-09-24,2015-09-30,Standard Class,MC-17275,70506-000001
CA-2017-101049,2017-06-21,2017-06-25,Second Class,AS-10240,44105-000001
CA-2016-106530,2016-05-08,2016-05-08,Same Day,CL-12565,44105-000001
CA-2014-168984,2014-11-26,2014-12-02,Standard Class,NW-18400,97224-000001
CA-2016-157266,2016-05-26,2016-06-01,Standard Class,TB-21280,20016-000001
US-2014-134712,2014-11-29,2014-12-04,Standard Class,BS-11380,60076-000001
CA-2015-111829,2015-03-19,2015-03-20,First Class,FH-14365,98115-000001
CA-2015-105221,2015-11-01,2015-11-03,First Class,VM-21685,19140-000001
CA-2015-120341,2015-09-26,2015-09-29,Second Class,SF-20200,19143-000001
CA-2014-135699,2014-08-29,2014-08-29,Same Day,HH-15010,94110-000001
US-2017-132444,2017-11-18,2017-11-21,First Class,CD-12280,98105-000001
CA-2014-127159,2014-05-12,2014-05-15,First Class,HL-15040,53209-000001
CA-2017-161809,2017-01-20,2017-01-26,Standard Class,TH-21100,90045-000001
CA-2017-127285,2017-10-30,2017-11-06,Standard Class,MM-18055,98115-000001
CA-2017-144526,2017-04-30,2017-05-06,Standard Class,QJ-19255,19143-000001
CA-2016-128531,2016-11-24,2016-11-26,Second Class,NS-18505,75217-000001
US-2015-157154,2015-01-10,2015-01-15,Standard Class,MM-17920,10011-000001
CA-2017-159457,2017-10-19,2017-10-26,Standard Class,RD-19480,77095-000001
CA-2016-107615,2016-03-22,2016-03-25,First Class,RB-19645,89031-000001
CA-2017-111647,2017-07-03,2017-07-07,Standard Class,RD-19585,75023-000001
CA-2015-150560,2015-12-11,2015-12-12,First Class,SW-20455,23434-000001
CA-2015-143077,2015-09-17,2015-09-21,Standard Class,SF-20965,77041-000001
CA-2016-122728,2016-05-18,2016-05-24,Standard Class,EB-13930,94110-000001
CA-2014-122882,2014-09-07,2014-09-13,Standard Class,SB-20290,19134-000001
US-2016-101497,2016-09-29,2016-10-01,Second Class,PS-18760,90008-000001
CA-2016-147585,2016-11-07,2016-11-12,Standard Class,CB-12535,94110-000001
CA-2017-149489,2017-04-24,2017-04-27,First Class,DK-12835,19143-000001
CA-2017-143798,2017-12-10,2017-12-12,First Class,AW-10840,19140-000001
CA-2014-142839,2014-08-16,2014-08-20,Standard Class,TS-21610,19143-000001
CA-2017-129833,2017-12-09,2017-12-15,Standard Class,HF-14995,46203-000001
US-2016-154361,2016-03-14,2016-03-19,Standard Class,HZ-14950,43229-000001
US-2016-158708,2016-06-26,2016-06-29,Second Class,AB-10255,75023-000001
CA-2015-156335,2015-09-25,2015-09-28,Second Class,PO-19195,7002-000001
CA-2015-148376,2015-12-27,2015-12-31,Standard Class,AG-10900,90008-000001
CA-2014-135657,2014-06-03,2014-06-07,Second Class,SC-20725,98115-000001
CA-2015-114069,2015-07-13,2015-07-15,Second Class,ND-18370,10035-000001
CA-2014-139857,2014-02-02,2014-02-06,Standard Class,CD-12790,92037-000001
CA-2016-106306,2016-03-08,2016-03-08,Same Day,PG-18820,85301-000001
CA-2015-100545,2015-11-22,2015-11-26,Standard Class,IM-15070,19120-000001
CA-2017-123491,2017-10-30,2017-11-05,Standard Class,JK-15205,94122-000001
CA-2015-145401,2015-01-30,2015-02-04,Standard Class,JP-15520,77070-000001
US-2017-124968,2017-09-08,2017-09-13,Second Class,MM-18055,60610-000001
CA-2017-104003,2017-10-07,2017-10-13,Standard Class,DC-13285,94110-000001
CA-2016-154788,2016-04-30,2016-05-04,Standard Class,JL-15835,10011-000001
CA-2016-169943,2016-05-19,2016-05-24,Standard Class,BN-11515,10011-000001
US-2015-123218,2015-12-20,2015-12-25,Standard Class,KD-16345,60623-000001
CA-2015-127453,2015-12-19,2015-12-20,First Class,JK-15370,19143-000001
US-2017-164056,2017-04-29,2017-05-04,Second Class,FM-14215,43017-000001
CA-2016-106894,2016-02-07,2016-02-07,Same Day,CA-12265,22153-000001
CA-2014-125136,2014-09-28,2014-10-03,Standard Class,KD-16495,28314-000001
US-2016-131149,2016-07-10,2016-07-14,Standard Class,LH-17155,75081-000001
CA-2017-101483,2017-07-29,2017-08-01,Second Class,AG-10675,28540-000001
CA-2015-130204,2015-09-03,2015-09-09,Standard Class,DB-13120,94122-000001
CA-2014-110527,2014-08-09,2014-08-16,Standard Class,ED-13885,92037-000001
CA-2017-152807,2017-10-30,2017-11-03,Standard Class,MC-18100,19140-000001
CA-2014-133270,2014-06-06,2014-06-09,First Class,BM-11785,14609-000001
CA-2016-155670,2016-08-13,2016-08-17,Second Class,EM-14065,28540-000001
US-2014-157406,2014-04-25,2014-04-29,Standard Class,DA-13450,77095-000001
CA-2015-139094,2015-11-22,2015-11-27,Standard Class,MO-17800,78207-000001
CA-2017-168837,2017-10-14,2017-10-17,First Class,JW-15955,94601-000001
CA-2017-116715,2017-12-02,2017-12-05,First Class,VW-21775,94122-000001
CA-2015-135622,2015-12-08,2015-12-11,Second Class,TT-21460,76106-000001
US-2015-107349,2015-07-13,2015-07-15,First Class,SL-20155,77095-000001
CA-2014-139017,2014-05-11,2014-05-17,Standard Class,RM-19375,77095-000001
CA-2014-141817,2014-01-05,2014-01-12,Standard Class,MB-18085,19143-000001
CA-2015-130785,2015-09-05,2015-09-09,Standard Class,AG-10900,92105-000001
CA-2016-110254,2016-08-04,2016-08-08,Standard Class,ML-17755,23434-000001
US-2014-158057,2014-03-22,2014-03-26,Standard Class,CC-12685,27405-000001
CA-2017-146024,2017-03-02,2017-03-08,Standard Class,SC-20770,75081-000001
CA-2016-129686,2016-11-27,2016-11-29,Second Class,GG-14650,60623-000001
CA-2014-118976,2014-04-28,2014-05-03,Standard Class,MY-18295,21215-000001
CA-2015-105347,2015-11-24,2015-11-28,Standard Class,DP-13000,90004-000001
CA-2016-124667,2016-11-11,2016-11-16,Standard Class,BD-11770,10011-000001
CA-2015-111094,2015-07-09,2015-07-13,Standard Class,CB-12535,2038-000001
CA-2017-166317,2017-09-22,2017-09-26,Standard Class,JE-15610,53209-000001
CA-2015-154326,2015-02-15,2015-02-19,Standard Class,RP-19855,53142-000001
CA-2014-102008,2014-09-30,2014-10-04,Standard Class,RA-19915,10011-000001
CA-2014-120474,2014-12-01,2014-12-03,First Class,RP-19390,53711-000001
CA-2014-104773,2014-12-08,2014-12-13,Standard Class,TB-21175,77041-000001
CA-2016-140774,2016-09-05,2016-09-10,Standard Class,BE-11455,66062-000001
US-2017-139465,2017-08-27,2017-08-30,First Class,MR-17545,10024-000001
CA-2016-100965,2016-07-07,2016-07-11,Standard Class,RM-19375,95123-000001
CA-2016-121034,2016-08-08,2016-08-10,Second Class,JF-15565,75081-000001
CA-2016-149461,2016-11-13,2016-11-19,Standard Class,AS-10135,98002-000001
CA-2017-158379,2017-09-22,2017-09-26,Second Class,JA-15970,19134-000001
US-2016-116729,2016-12-25,2016-12-28,First Class,GK-14620,90049-000001
CA-2016-164938,2016-02-11,2016-02-13,First Class,PB-19210,74133-000001
CA-2016-165484,2016-10-23,2016-10-29,Standard Class,HK-14890,60610-000001
CA-2014-132612,2014-06-09,2014-06-11,Second Class,FO-14305,22801-000001
US-2017-161193,2017-11-20,2017-11-26,Standard Class,BT-11680,43055-000001
CA-2015-131597,2015-09-14,2015-09-18,Standard Class,SP-20620,90045-000001
CA-2015-164833,2015-06-04,2015-06-04,Same Day,LL-16840,98105-000001
CA-2015-125423,2015-12-13,2015-12-15,Second Class,MC-17575,90036-000001
US-2014-130379,2014-05-25,2014-05-29,Standard Class,JL-15235,60623-000001
CA-2016-168956,2016-02-16,2016-02-20,Standard Class,EA-14035,60623-000001
CA-2016-167507,2016-12-22,2016-12-28,Standard Class,SA-20830,97756-000001
CA-2016-109344,2016-02-08,2016-02-11,Second Class,CH-12070,27604-000001
US-2015-140851,2015-07-13,2015-07-15,Second Class,ND-18460,31204-000001
CA-2014-103373,2014-05-18,2014-05-24,Standard Class,BS-11755,44105-000001
CA-2017-145884,2017-10-21,2017-10-21,Same Day,SL-20155,74403-000001
CA-2015-131422,2015-11-05,2015-11-09,Standard Class,GB-14530,28110-000001
CA-2017-162691,2017-08-01,2017-08-07,Standard Class,AS-10045,78745-000001
CA-2014-141278,2014-06-21,2014-06-24,First Class,RM-19375,6450-000001
CA-2017-122693,2017-02-19,2017-02-21,Second Class,NH-18610,30076-000001
CA-2014-117345,2014-08-01,2014-08-05,Standard Class,BF-10975,28205-000001
CA-2016-157763,2016-07-18,2016-07-23,Standard Class,KH-16330,42104-000001
CA-2015-135391,2015-02-09,2015-02-11,Second Class,FA-14230,78207-000001
US-2017-113852,2017-07-29,2017-08-02,Standard Class,GW-14605,98115-000001
US-2017-158512,2017-01-12,2017-01-17,Second Class,DA-13450,20016-000001
CA-2017-128370,2017-09-10,2017-09-10,Same Day,FH-14275,90004-000001
CA-2015-160472,2015-07-20,2015-07-25,Second Class,RK-19300,46614-000001
CA-2014-114643,2014-06-13,2014-06-17,Standard Class,FM-14215,90032-000001
US-2017-158218,2017-05-12,2017-05-15,Second Class,AC-10420,77041-000001
CA-2015-121608,2015-09-03,2015-09-05,First Class,JB-15400,6010-000001
US-2017-121251,2017-03-26,2017-03-27,First Class,GM-14440,10009-000001
CA-2014-151078,2014-11-12,2014-11-12,Same Day,RF-19840,78207-000001
US-2016-100839,2016-10-13,2016-10-17,Standard Class,NC-18625,80013-000001
US-2017-116659,2017-11-12,2017-11-12,Same Day,NG-18355,43055-000001
CA-2017-118857,2017-04-15,2017-04-18,First Class,AH-10075,89015-000001
CA-2015-127110,2015-06-25,2015-07-01,Standard Class,CH-12070,19143-000001
CA-2016-148201,2016-08-26,2016-08-29,Second Class,CC-12145,98103-000001
CA-2014-116932,2014-07-21,2014-07-25,Standard Class,ME-18010,94122-000001
CA-2017-142888,2017-11-21,2017-11-25,Standard Class,BP-11230,99207-000001
CA-2014-147914,2014-06-04,2014-06-09,Standard Class,MP-17470,43229-000001
US-2016-112977,2016-03-10,2016-03-16,Standard Class,CJ-12010,11561-000001
CA-2017-112039,2017-03-25,2017-03-29,Standard Class,JC-15775,78207-000001
CA-2017-118885,2017-12-29,2018-01-02,Standard Class,JG-15160,90049-000001
US-2017-166611,2017-03-28,2017-04-02,Standard Class,CK-12760,32216-000001
CA-2015-109512,2015-03-05,2015-03-05,Same Day,LF-17185,10011-000001
CA-2016-118570,2016-11-13,2016-11-17,Standard Class,CC-12430,19143-000001
CA-2017-154718,2017-01-19,2017-01-23,Second Class,DL-12865,76248-000001
CA-2016-147578,2016-04-22,2016-04-26,Second Class,PG-18895,94122-000001
CA-2014-140165,2014-05-13,2014-05-15,First Class,EH-14005,33012-000001
CA-2014-142587,2014-10-21,2014-10-22,First Class,TB-21520,45014-000001
CA-2014-157623,2014-03-14,2014-03-18,Standard Class,DK-13225,92646-000001
CA-2017-145310,2017-12-22,2017-12-24,Second Class,JP-15520,32127-000001
CA-2016-100083,2016-11-24,2016-11-29,Standard Class,CD-11980,97504-000001
US-2017-108063,2017-12-02,2017-12-05,First Class,AS-10090,22901-000001
CA-2015-109197,2015-12-31,2016-01-04,Standard Class,JO-15280,59801-000001
CA-2017-141789,2017-10-03,2017-10-06,First Class,AC-10450,55407-000001
CA-2014-169775,2014-08-29,2014-09-02,Second Class,RA-19945,33178-000001
CA-2016-140543,2016-06-29,2016-07-03,Second Class,Co-12640,29501-000001
CA-2016-151141,2016-08-20,2016-08-23,First Class,DW-13480,48205-000001
CA-2017-167094,2017-10-21,2017-10-22,First Class,DK-12835,97477-000001
CA-2017-154410,2017-10-21,2017-10-24,First Class,MD-17860,46203-000001
US-2016-150567,2016-05-17,2016-05-21,Standard Class,RP-19855,32712-000001
CA-2015-157959,2015-02-03,2015-02-04,First Class,RW-19540,90008-000001
CA-2017-105886,2017-12-18,2017-12-23,Standard Class,DB-13660,11572-000001
CA-2016-105963,2016-11-15,2016-11-22,Standard Class,SC-20770,90008-000001
CA-2017-121503,2017-07-03,2017-07-06,Second Class,FH-14275,77041-000001
CA-2014-103366,2014-01-15,2014-01-17,First Class,EH-13990,30076-000001
CA-2017-124597,2017-04-30,2017-05-05,Standard Class,AS-10630,33437-000001
CA-2015-105634,2015-11-08,2015-11-14,Standard Class,HA-14905,2038-000001
CA-2015-123673,2015-10-30,2015-11-01,Second Class,CH-12070,48227-000001
US-2017-111423,2017-08-17,2017-08-19,First Class,EH-13765,13601-000001
CA-2015-125178,2015-10-03,2015-10-09,Standard Class,MZ-17515,19601-000001
CA-2016-156685,2016-07-08,2016-07-10,Second Class,SC-20230,76017-000001
CA-2017-126865,2017-12-05,2017-12-07,Second Class,NP-18325,92024-000001
CA-2017-102834,2017-03-09,2017-03-13,Standard Class,LW-16990,94110-000001
US-2016-139710,2016-06-09,2016-06-15,Standard Class,GM-14680,90045-000001
CA-2017-121538,2017-11-28,2017-12-01,First Class,RH-19495,80219-000001
US-2017-101539,2017-03-16,2017-03-18,Second Class,VM-21685,98105-000001
CA-2016-152121,2016-11-27,2016-11-29,Second Class,CC-12670,85254-000001
CA-2017-161200,2017-08-06,2017-08-10,Second Class,SV-20365,70506-000001
CA-2017-101245,2017-11-27,2017-12-03,Standard Class,LW-16990,94109-000001
CA-2015-141768,2015-05-25,2015-05-27,Second Class,NP-18685,94109-000001
CA-2016-112109,2016-07-08,2016-07-12,Standard Class,JE-15715,80020-000001
CA-2017-144064,2017-08-29,2017-09-01,First Class,CP-12085,62301-000001
CA-2016-108581,2016-06-20,2016-06-26,Standard Class,EA-14035,75007-000001
CA-2017-157987,2017-09-02,2017-09-06,Standard Class,AC-10615,10009-000001
CA-2017-110905,2017-09-10,2017-09-15,Second Class,RW-19690,65807-000001
CA-2017-165841,2017-12-21,2017-12-28,Standard Class,DB-13210,7501-000001
CA-2017-117485,2017-09-23,2017-09-29,Standard Class,BD-11320,74133-000001
CA-2017-140242,2017-05-06,2017-05-11,Standard Class,ML-17755,60623-000001
CA-2014-148950,2014-12-14,2014-12-19,Standard Class,JD-16015,60610-000001
CA-2014-110408,2014-10-18,2014-10-20,Second Class,AS-10225,36116-000001
CA-2015-109939,2015-05-08,2015-05-12,Standard Class,AA-10375,97301-000001
CA-2016-112669,2016-04-14,2016-04-14,Same Day,KT-16465,85301-000001
CA-2015-119592,2015-12-14,2015-12-16,Second Class,MM-18280,31907-000001
CA-2014-122749,2014-12-03,2014-12-09,Standard Class,NG-18430,73120-000001
CA-2014-164721,2014-11-25,2014-11-27,Second Class,LW-16825,94513-000001
CA-2016-147417,2016-07-25,2016-07-27,First Class,CB-12415,43229-000001
CA-2015-127509,2015-11-09,2015-11-13,Standard Class,AS-10090,65807-000001
CA-2017-111374,2017-02-24,2017-02-28,Standard Class,CB-12415,19134-000001
CA-2017-133648,2017-06-25,2017-07-02,Standard Class,ML-17755,97477-000001
US-2017-147221,2017-12-02,2017-12-04,Second Class,JS-16030,77036-000001
CA-2014-131905,2014-02-06,2014-02-09,First Class,ND-18460,23320-000001
CA-2017-166128,2017-04-11,2017-04-18,Standard Class,LW-17215,91104-000001
CA-2017-163510,2017-12-25,2017-12-28,Second Class,JW-15955,40214-000001
US-2017-143028,2017-04-11,2017-04-18,Standard Class,SC-20050,79424-000001
CA-2014-111150,2014-12-31,2015-01-04,Standard Class,RW-19630,65203-000001
CA-2017-165386,2017-08-03,2017-08-04,First Class,CM-12190,60623-000001
CA-2014-116407,2014-11-15,2014-11-21,Standard Class,JF-15190,37604-000001
CA-2015-155761,2015-12-11,2015-12-11,Same Day,SC-20800,77041-000001
CA-2016-145905,2016-09-18,2016-09-23,Standard Class,AM-10705,36830-000001
CA-2015-113110,2015-03-19,2015-03-23,Standard Class,BK-11260,92404-000001
CA-2016-168354,2016-09-19,2016-09-21,First Class,RH-19510,2908-000001
US-2017-111241,2017-08-20,2017-08-22,Second Class,GM-14500,93727-000001
CA-2015-114237,2015-03-13,2015-03-15,First Class,MC-17275,98103-000001
CA-2016-113516,2016-09-08,2016-09-10,Second Class,VM-21685,93534-000001
CA-2015-117961,2015-11-26,2015-11-30,Standard Class,GP-14740,1453-000001
CA-2016-128923,2016-12-09,2016-12-13,Standard Class,GB-14530,76106-000001
CA-2017-162481,2017-09-25,2017-09-29,Standard Class,CT-11995,55901-000001
CA-2015-119214,2015-01-23,2015-01-27,Standard Class,CW-11905,59715-000001
CA-2015-122287,2015-06-18,2015-06-23,Standard Class,SN-20560,85345-000001
CA-2015-104493,2015-10-02,2015-10-08,Standard Class,EB-13705,92105-000001
US-2017-158946,2017-11-18,2017-11-23,Standard Class,JW-15220,44107-000001
CA-2014-129168,2014-08-17,2014-08-23,Standard Class,KB-16585,77095-000001
CA-2016-131835,2016-07-17,2016-07-21,Standard Class,MC-17590,8861-000001
CA-2015-142237,2015-07-11,2015-07-13,First Class,CK-12595,19134-000001
CA-2016-136434,2016-12-01,2016-12-07,Standard Class,RD-19480,47374-000001
CA-2017-120376,2017-12-22,2017-12-25,First Class,TP-21130,48227-000001
CA-2014-106439,2014-10-31,2014-11-04,Standard Class,GG-14650,90049-000001
CA-2015-133452,2015-04-13,2015-04-19,Standard Class,ZC-21910,91767-000001
CA-2016-146521,2016-07-21,2016-07-23,Second Class,CC-12610,19134-000001
US-2017-110996,2017-11-20,2017-11-25,Standard Class,KA-16525,91761-000001
CA-2016-129693,2016-11-26,2016-12-02,Standard Class,TC-20980,98105-000001
CA-2017-122504,2017-11-07,2017-11-12,Second Class,DB-13270,94513-000001
CA-2014-131051,2014-12-01,2014-12-05,Standard Class,TR-21325,94122-000001
CA-2017-140676,2017-09-12,2017-09-15,First Class,BF-11080,21215-000001
CA-2015-120103,2015-12-24,2015-12-29,Standard Class,MS-17365,85023-000001
CA-2017-104647,2017-02-23,2017-03-01,Standard Class,CK-12595,90008-000001
CA-2014-110352,2014-11-23,2014-11-29,Standard Class,ED-13885,77036-000001
CA-2016-140501,2016-06-23,2016-06-28,Standard Class,IM-15070,10009-000001
CA-2015-139290,2015-10-26,2015-10-30,Standard Class,MY-17380,91730-000001
CA-2017-166142,2017-07-15,2017-07-19,Standard Class,MM-17260,19805-000001
CA-2014-145926,2014-11-17,2014-11-21,Standard Class,MP-17470,56560-000001
CA-2015-149678,2015-04-13,2015-04-15,Second Class,AW-10840,87401-000001
US-2015-164357,2015-11-25,2015-11-29,Standard Class,SF-20065,28403-000001
US-2016-146570,2016-05-15,2016-05-20,Standard Class,SN-20710,39212-000001
CA-2017-124401,2017-09-07,2017-09-12,Standard Class,RD-19900,97206-000001
US-2014-140116,2014-03-10,2014-03-17,Standard Class,KT-16480,80219-000001
CA-2014-123295,2014-07-18,2014-07-18,Same Day,AH-10120,85705-000001
CA-2017-167101,2017-03-24,2017-03-28,Second Class,BM-11650,10009-000001
US-2014-167633,2014-09-30,2014-10-05,Standard Class,BW-11200,33437-000001
US-2014-152723,2014-09-26,2014-09-26,Same Day,HG-14965,75150-000001
CA-2015-164882,2015-10-31,2015-10-31,Same Day,SG-20080,92374-000001
CA-2015-159786,2015-10-12,2015-10-17,Second Class,RK-19300,14609-000001
CA-2016-130267,2016-09-19,2016-09-23,Standard Class,SW-20245,95207-000001
CA-2017-155460,2017-04-13,2017-04-15,First Class,RW-19630,98105-000001
US-2017-168690,2017-01-07,2017-01-13,Standard Class,TS-21085,32174-000001
CA-2017-158246,2017-11-09,2017-11-11,First Class,JB-15400,94086-000001
CA-2017-167381,2017-09-22,2017-09-24,Second Class,EH-14005,48911-000001
CA-2017-144862,2017-12-01,2017-12-05,Standard Class,EH-14005,19143-000001
CA-2014-126032,2014-06-23,2014-06-28,Standard Class,BS-11665,19143-000001
CA-2015-134859,2015-10-04,2015-10-09,Standard Class,JK-16120,19134-000001
US-2014-114188,2014-05-20,2014-05-22,Second Class,RF-19345,3820-000001
CA-2015-156524,2015-11-20,2015-11-26,Standard Class,DL-12865,10011-000001
CA-2015-122210,2015-11-30,2015-12-04,Standard Class,WB-21850,19134-000001
CA-2015-156377,2015-12-31,2016-01-05,Standard Class,TB-21625,75051-000001
US-2017-157896,2017-11-16,2017-11-16,Same Day,CB-12415,10009-000001
CA-2014-159520,2014-06-06,2014-06-11,Standard Class,GT-14635,11561-000001
CA-2016-155481,2016-09-01,2016-09-05,Standard Class,DK-13225,19140-000001
US-2016-152051,2016-06-25,2016-06-29,Standard Class,TS-21160,17403-000001
CA-2014-141607,2014-12-12,2014-12-17,Standard Class,WB-21850,94521-000001
CA-2017-102771,2017-03-31,2017-04-05,Standard Class,DO-13435,10035-000001
US-2017-139969,2017-11-19,2017-11-26,Standard Class,AF-10870,77840-000001
CA-2014-167360,2014-11-24,2014-11-29,Second Class,RB-19435,63116-000001
CA-2015-123505,2015-11-22,2015-11-26,Standard Class,AR-10540,2169-000001
CA-2016-117282,2016-07-14,2016-07-18,Standard Class,DR-12880,10009-000001
US-2016-120460,2016-04-30,2016-05-05,Standard Class,BF-11170,75081-000001
CA-2016-111115,2016-07-25,2016-07-27,Second Class,LB-16735,90032-000001
CA-2014-124646,2014-06-22,2014-06-24,First Class,DV-13465,55407-000001
CA-2017-148166,2017-10-21,2017-10-26,Standard Class,NK-18490,32725-000001
CA-2016-159737,2016-09-03,2016-09-09,Standard Class,CS-11950,60610-000001
CA-2016-141019,2016-05-14,2016-05-14,Same Day,LH-17155,45231-000001
CA-2016-101938,2016-01-07,2016-01-12,Standard Class,DW-13480,94601-000001
CA-2017-166296,2017-03-13,2017-03-19,Standard Class,KF-16285,95336-000001
CA-2016-154018,2016-10-13,2016-10-19,Standard Class,HA-14920,78041-000001
CA-2017-117870,2017-01-27,2017-01-30,Second Class,JH-15820,44240-000001
US-2017-137491,2017-11-19,2017-11-25,Standard Class,LC-16930,76903-000001
CA-2014-152296,2014-08-01,2014-08-03,First Class,IL-15100,94122-000001
CA-2016-112025,2016-07-30,2016-08-04,Standard Class,LS-16975,77070-000001
CA-2015-132507,2015-07-30,2015-08-03,Second Class,CC-12610,77041-000001
CA-2016-125738,2016-10-15,2016-10-21,Standard Class,PB-18805,84106-000001
CA-2016-128818,2016-05-07,2016-05-11,Standard Class,CJ-12010,10009-000001
CA-2017-124576,2017-08-01,2017-08-04,Second Class,HK-14890,93905-000001
CA-2016-101378,2016-07-14,2016-07-14,Same Day,RH-19600,35810-000001
CA-2017-143063,2017-08-10,2017-08-15,Standard Class,IL-15100,47201-000001
CA-2016-118913,2016-06-25,2016-06-29,Standard Class,AS-10240,90049-000001
CA-2016-128412,2016-12-10,2016-12-17,Standard Class,AP-10915,98105-000001
CA-2016-136483,2016-12-01,2016-12-06,Standard Class,AG-10390,37918-000001
